Designator,Mid X,Mid Y,Rotation,Layer
D1,236.23,-95.0,0.0,top
RESISTOR,233.69,-72.5,180.0,top
SWITCH,179.25,-75.25,0.0,top
TP1,175.894779,-90.0,0.0,top
TP2,175.894779,-97.5,0.0,top
